,0
2784201334,60
2481410827,47
3182396570,19
2796408411,89
550218448,15
1570956111,96
2588605027,15
4294924655,16
3445419728,3
2645934274,4
582941081,129
669776709,1
3655065349,15
192214591,47
29111804,3
705697355,45
3612679800,4
2596068451,47
3122972162,15
1497638294,15
2671696570,11
2837833343,44
317673318,47
2037083914,16
539538961,3
1943931031,35
4188949701,15
1385581107,54
3054887119,16
2616268870,3
3570520647,47
1637328129,15
2105326924,16
2198033169,15
1202878152,15
2854792848,14
753705315,16
309367524,15
1133921844,16
2984433776,3
580105876,77
596374507,19
3733550837,44
3892135313,3
1664305878,41
3987333791,3
790625924,45
1234599881,41
851690795,41
3227168547,41
3162202677,41
13165604,4
412607989,15
1905370086,15
3960140017,4
3680625360,14
686698687,45
2856575266,3
2903254226,3
3121827929,3
2601165687,2
3878026037,15
334969650,15
433330365,15
2182700361,47
2584611847,15
2577778241,3
764186525,16
824149048,15
3287171207,15
3495673355,15
415782894,15
2715154069,15
1107656627,33
3393232260,15
3178048036,16
1528412468,16
1137256667,16
3736186930,15
3240674203,43
804579210,19
2185622015,15
523107890,16
4105660651,3
778992242,62
2811018393,16
234665764,43
1430238478,3
765646626,16
1335207100,3
134334590,3
2305997389,16
4150453272,3
3722641608,44
850144627,44
4283666860,3
3804355030,68
2682049340,13
1246572757,13
3136668093,13
1945753265,41
2380305456,50
1007944705,41
3074591455,65
3497010573,156
2433696688,47
844148864,16
1369660302,41
3215262642,41
2733810084,4
3998533419,47
1616744080,3
3994925200,72
1989496108,81
3948105767,3
3639837210,15
2402560248,62
720654480,15
838740676,1
3385497005,4
1870841796,15
672201504,3
4045106119,3
1277604731,3
2102782405,15
2833999276,3
2406878118,15
773932435,47
520464111,16
378458871,15
1952374116,3
3043619397,62
3935678152,15
3722728635,15
150457155,16
1170351744,15
259083857,15
3086383701,15
684769876,44
3807504119,16
3944910654,16
2649840432,106
3670402749,0
932880652,14
2113337149,16
4284429277,3
2333731082,16
1355901833,2
1307911768,3
4156923885,15
2586727120,1
3287603461,15
1076230410,36
2753777757,33
356506228,16
48660008,4
4086818045,62
944626101,61
3209644722,11
3539210486,16
