,0
2784201334,60
2481410827,33
3182396570,12
2796408411,114
550218448,10
1570956111,88
2588605027,10
4294924655,8
3445419728,0
2645934274,7
582941081,134
669776709,2
3655065349,10
192214591,33
29111804,0
705697355,42
3612679800,7
2596068451,33
3122972162,10
1497638294,10
2671696570,1
2837833343,31
317673318,33
2037083914,8
539538961,0
1943931031,37
4188949701,10
1385581107,65
3054887119,8
2616268870,0
3570520647,33
1637328129,10
2105326924,8
2198033169,10
1202878152,10
2854792848,14
753705315,8
309367524,10
1133921844,8
2984433776,0
580105876,78
596374507,12
3733550837,31
3892135313,0
1664305878,48
3987333791,0
790625924,42
1234599881,48
851690795,48
3227168547,48
3162202677,48
13165604,7
412607989,10
1905370086,10
3960140017,7
3680625360,14
686698687,42
2856575266,0
2903254226,0
3121827929,0
2601165687,5
3878026037,10
334969650,10
433330365,10
2182700361,33
2584611847,10
2577778241,0
764186525,8
824149048,10
3287171207,10
3495673355,10
415782894,10
2715154069,10
1107656627,57
3393232260,10
3178048036,8
1528412468,8
1137256667,8
3736186930,10
3240674203,39
804579210,12
2185622015,10
523107890,8
4105660651,0
778992242,51
2811018393,8
234665764,39
1430238478,0
765646626,8
1335207100,0
134334590,0
2305997389,8
4150453272,0
3722641608,31
850144627,31
4283666860,0
3804355030,72
2682049340,21
1246572757,21
3136668093,21
1945753265,48
2380305456,56
1007944705,48
3074591455,59
3497010573,0
2433696688,33
844148864,8
1369660302,48
3215262642,48
2733810084,7
3998533419,33
1616744080,0
3994925200,43
1989496108,73
3948105767,0
3639837210,10
2402560248,51
720654480,10
838740676,2
3385497005,7
1870841796,10
672201504,0
4045106119,0
1277604731,0
2102782405,10
2833999276,0
2406878118,10
773932435,33
520464111,8
378458871,10
1952374116,0
3043619397,51
3935678152,10
3722728635,10
150457155,8
1170351744,10
259083857,10
3086383701,10
684769876,31
3807504119,8
3944910654,8
2649840432,120
3670402749,27
932880652,14
2113337149,8
4284429277,0
2333731082,8
1355901833,5
1307911768,0
4156923885,10
2586727120,2
3287603461,10
1076230410,40
2753777757,57
356506228,8
48660008,7
4086818045,51
944626101,62
3209644722,1
3539210486,8
2185558448,49
126913671,124
2593915864,0
2202302264,21
3242025228,21
1470127042,48
3628164617,21
84355805,72
1951499885,21
813620156,0
1275026549,50
3378126650,48
2112144778,48
2266347051,57
1068102371,0
1318629763,51
3470922769,4
1675233149,73
261780183,114
1395213715,0
3940448589,0
2043745909,39
2170306803,0
3295802467,10
3551479515,0
2209201017,10
3279143130,10
2122034477,10
1656738769,10
2010287558,10
66238809,7
1664454819,14
2461277679,48
3425265925,10
1351082946,10
