,0
2784201334,45
2481410827,46
3182396570,29
2796408411,104
550218448,5
1570956111,95
2588605027,5
4294924655,18
3445419728,6
2645934274,9
582941081,105
669776709,1
3655065349,5
192214591,46
29111804,6
705697355,53
3612679800,9
2596068451,46
3122972162,5
1497638294,5
2671696570,10
2837833343,51
317673318,46
2037083914,18
539538961,6
1943931031,34
4188949701,5
1385581107,58
3054887119,18
2616268870,6
3570520647,46
1637328129,5
2105326924,18
2198033169,5
1202878152,5
2854792848,177
753705315,18
309367524,5
1133921844,18
2984433776,6
580105876,89
596374507,29
3733550837,51
3892135313,6
1664305878,25
3987333791,6
790625924,53
1234599881,25
851690795,25
3227168547,25
3162202677,25
13165604,9
412607989,5
1905370086,5
3960140017,9
3680625360,177
686698687,53
2856575266,6
2903254226,6
3121827929,6
2601165687,11
3878026037,5
334969650,5
433330365,5
2182700361,46
2584611847,5
2577778241,6
764186525,18
824149048,5
3287171207,5
3495673355,5
415782894,5
2715154069,5
1107656627,36
3393232260,5
3178048036,18
1528412468,18
1137256667,18
3736186930,5
3240674203,48
804579210,29
2185622015,5
523107890,18
4105660651,6
778992242,74
2811018393,18
234665764,48
1430238478,6
765646626,18
1335207100,6
134334590,6
2305997389,18
4150453272,6
3722641608,51
850144627,51
4283666860,6
3804355030,56
2682049340,16
1246572757,16
3136668093,16
1945753265,25
2380305456,52
1007944705,25
3074591455,63
3497010573,105
2433696688,46
844148864,18
1369660302,25
3215262642,25
2733810084,9
3998533419,46
1616744080,6
3994925200,59
1989496108,87
3948105767,6
3639837210,5
2402560248,74
720654480,5
838740676,1
3385497005,9
1870841796,5
672201504,6
4045106119,6
1277604731,6
2102782405,5
2833999276,6
2406878118,5
773932435,46
520464111,18
378458871,5
1952374116,6
3043619397,74
3935678152,5
3722728635,5
150457155,18
1170351744,5
259083857,5
3086383701,5
684769876,51
3807504119,18
3944910654,18
2649840432,105
3670402749,35
932880652,177
2113337149,18
4284429277,6
2333731082,18
1355901833,11
1307911768,6
4156923885,5
2586727120,1
3287603461,5
1076230410,47
2753777757,36
356506228,18
48660008,9
4086818045,74
944626101,57
3209644722,10
3539210486,18
2185558448,42
126913671,105
2593915864,6
2202302264,16
3242025228,16
1470127042,25
3628164617,16
84355805,56
1951499885,16
813620156,6
1275026549,65
3378126650,25
2112144778,25
2266347051,36
1068102371,6
1318629763,74
3470922769,2
1675233149,87
261780183,104
1395213715,6
3940448589,6
2043745909,48
2170306803,6
3295802467,5
3551479515,6
2209201017,5
3279143130,5
2122034477,5
1656738769,5
2010287558,5
66238809,9
1664454819,177
2461277679,25
3425265925,5
1351082946,5
1721252270,5
3993445158,5
1896731263,74
1890727541,5
1643175513,6
1262603797,18
3472842612,5
3834229013,6
3564899608,98
3549829526,25
209486893,6
873370726,47
3945350005,5
980484206,5
833262623,9
1653285804,46
1556332804,74
2876829721,5
3568521280,18
993771785,105
2240409597,63
610266074,18
2730733241,5
474811707,5
1987708263,5
523229533,6
1518757253,5
2647707382,18
3598980806,46
3347643937,6
262289841,5
134539769,5
146391813,5
2005030816,18
267459326,5
619869708,18
3991337584,5
3258707704,157
4187616436,9
3518416187,5
609113281,5
2192396738,18
2158664337,6
1990794920,18
1254474075,6
991218482,181
213334982,6
800071550,6
892061908,36
3892167704,105
2936789071,5
879727616,5
3361197142,36
2168843647,6
155386722,18
326926640,10
865335843,74
663658574,43
2104795234,18
3885416502,18
2368710343,84
2666929692,11
3836135,27
2633545422,16
918619529,5
3602782436,6
372935507,6
4091336473,40
1747633658,95
947337218,26
2369214966,12
2226427908,1
687963757,34
3449974621,18
4294834649,36
2021949131,5
1951743230,6
3120518763,177
2679485779,19
2090284400,5
2840019146,6
3664961523,5
1338608419,105
1949128669,1
2624000215,5
2721417429,25
3343908602,74
3401534002,3
658443742,5
3607191031,5
1380395289,74
2903867145,74
4129487121,5
4294710591,11
2013650409,5
1914300095,5
3829858221,36
1830269814,13
1930812195,6
3803483461,5
3921937066,5
3504672632,10
2661601747,6
3334625974,46
3731140619,5
3250344670,6
1459859577,29
270926810,46
2510067331,5
1624523609,105
3629153034,5
1817586676,5
3351243966,46
2395786110,43
3668822785,5
671711660,5
1429669076,11
2070789249,5
3444452700,12
2216297614,6
1649462244,29
1862138605,5
2055833637,5
834618045,12
2975577076,18
3543368143,18
2604551232,48
1208165070,5
2473469965,18
758687775,18
4163186309,64
1953998130,5
820925103,5
345558413,5
2045101767,89
4017854863,6
2398053090,177
4046373707,177
3129511397,5
4184055309,5
2088906973,74
2133906593,9
3844043701,5
1061845826,5
236501847,5
2281396683,5
3643671268,18
86295093,6
1105254676,57
2104229848,6
1673944311,5
4071404007,6
570270911,5
594762193,11
3249046480,100
4167050806,18
2492874153,18
3160105473,18
2711615258,11
3737799640,5
1616547712,18
3877216049,29
2163066761,18
174946527,18
639194941,74
3371678177,15
1589333211,5
586019950,11
23857323,92
3524386800,18
4279879902,177
2433720083,12
2747814174,13
2345593338,84
2067381329,53
2171798683,5
1117694461,6
3956654542,6
4111955889,5
1484255394,6
3079110359,5
2659450769,18
3843266387,18
3059303674,5
273821784,74
4011866570,5
3601123532,53
3683739024,18
374012481,18
2145742797,5
1676040803,36
4252473376,5
2378705384,5
1679380226,24
4019891076,6
3719528423,97
1395654090,5
430167634,39
3537044611,18
1675520641,26
2227449508,18
2690601538,18
2927600560,6
1385619915,18
1658196114,18
702104300,25
4107128843,52
3544412910,6
1233916683,63
2207402739,25
3567600155,4
1044072492,16
2002479871,25
876935938,6
2403534701,6
3881471220,6
951105447,105
3823820238,6
3330660549,25
2962339326,8
612651043,74
2161169374,177
950793328,5
1423072253,46
2630581680,88
2205916085,11
3866377048,25
102057490,25
3859592149,34
725412651,21
53439703,80
2872135792,6
2252300477,9
2416397024,98
2174573965,53
2544241979,3
3591766451,5
1856289205,6
3571560093,57
899416621,4
2347798689,6
904366077,5
1739620392,5
3752313735,177
3554142298,6
1119925862,30
2344099114,17
1075836104,74
647915202,5
2474948188,23
1068567044,5
889648843,6
2414096067,53
2666063745,6
3485328432,6
3777684881,6
4264131678,5
3404210023,5
3961680230,5
4075096309,6
1937072385,6
2213718057,6
867328516,3
3519240888,11
251449600,5
3170744699,6
2110823665,39
4247626286,6
3891133201,177
2398611272,6
2313260282,18
211430949,20
2737717180,46
1323339224,46
4084860991,24
2389333602,5
237312198,18
1089714447,18
2827565319,6
2943412190,5
1901667760,18
303761955,1
3205146286,5
1824910489,5
2367442181,41
2818457886,46
184037041,177
1843353576,5
2525665409,181
271708905,89
725229586,29
1501424555,18
3653678083,5
1052442196,18
2446397090,5
1263751981,74
4147654179,6
2441369771,18
1049431749,18
1585562943,5
4166438736,5
2409365321,47
2900690324,6
3295921206,11
228742031,18
993869617,26
1354555464,5
2328357237,32
1499864419,6
3891589207,18
400469943,18
3403483080,5
30263917,5
1433520829,48
3903859920,5
2558866020,18
2347188215,9
3117808936,18
3450201378,9
3646536945,11
3123694740,5
590855642,5
3578632918,105
3641756381,52
2575303403,9
1392332122,18
1103524517,5
1347482901,18
370050636,5
1513815217,18
2314544476,90
1499653481,11
125244010,5
1112059122,5
2135631895,5
1195496563,5
1602793743,14
126212726,5
3240017497,18
1230898360,5
2598526829,5
119718890,5
3925193924,18
4242719322,6
1066972905,26
3815745457,5
4259006284,5
3650251675,5
2536891872,18
2336485053,5
1149672129,11
3675528242,17
1313394435,6
1647687859,74
3064149130,18
1243952040,18
1781522162,36
2262437239,6
1466934152,6
626476092,16
2989979638,5
347259932,18
2727173753,5
1210246507,18
297224907,5
669486057,89
4011920689,18
3912813697,18
